,Theme,Genre,Title
1103,gag humor gag humorgag parody,comedy supernatural,good luck girl
2002,parody,comedy,mobile suit gundam mini seed gundam seed character theater
3250,every,action fantasy,island siliang
3085,adult cast adult castadult showbiz,comedy romance,rec special rec episode rec unforgiven
3014,historical martial arts martial artsmartial,action adventure fantasy,peak true martial arts nd season
1352,isekai,action fantasy,wrong way use healing magic
1467,every,supernatural,girl side
3198,every,action adventure fantasy sci fi,digital monster x evolution digimon x digital monster x evolution royal knights
3546,detective parody super power super powersuper,comedy mystery,detective opera milky holmes
982,mecha,action sci fi,gundam build fighters
456,love polygon love polygonlove showbiz,comedy drama romance,skip beat
2866,strategy game strategy gamestrategy,action adventure comedy sci fi,megaman nt warrior axess
2855,medical psychological,mystery supernatural,dr ramune mysterious disease specialist
2730,strategy game strategy gamestrategy,action adventure comedy fantasy,pok mon movie power us
381,adult cast adult castadult music,comedy romance,nodame cantabile paris chapter nodame cantabile pari hen
3600,every,action adventure fantasy,way choices th season fighter destiny th season
1938,mecha military,action drama sci fi,fafner heaven earth
2794,adult cast adult castadult otaku culture otaku cultureotaku showbiz,boys love boys loveboys comedy,love stage
1010,adult cast adult castadult detective psychological,action sci fi,psycho pass sinners system case side love hate
3387,parody super power super powersuper,action comedy,one punch man season commemorative special
3854,harem,action comedy sci fi,infinite stratos long vacation edition memories one summer
662,adult cast adult castadult video game video gamevideo,action adventure fantasy,log horizon
1582,parody samurai,action comedy,gintama x monster strike
1506,anthropomorphic educational medical,action drama,cells work code black
3784,historical mythology time time travel time traveltime,action fantasy,amatsuki
2725,team sports team sportsteam,drama sports,offside
2891,idols male idols male idols music reverse harem reverse haremreverse,comedy romance,uta prince sama legend star
3020,school vampire,comedy romance supernatural,karin
2929,every,comedy,bokura wa minna kawaisou shiro san ore kawai complex guide manors hostel behavior shino san
2131,childcare delinquents mythology school,action comedy supernatural,long
845,mecha military space,action adventure award winning award winningaward drama romance sci fi,gundam
542,every,sci fi slice life slice lifeslice,time eve
91,every,action fantasy supernatural,fate zero season
2461,mahou shoujo mahou shoujomahou super power super powersuper,fantasy romance,long
1867,every,comedy,crayon shin chan shrouded mystery flowers tenkazu academy
1196,love polygon love polygonlove school,romance,blue spring ride
1102,love polygon love polygonlove school super power super powersuper,comedy romance,baka test summon beasts
2583,adult cast adult castadult super power super powersuper,action drama sci fi,witchblade
1647,military,drama fantasy girls love girls lovegirls,shimuun simoon
2172,iyashikei,slice life slice lifeslice supernatural,helpful fox senko san
2430,iyashikei school,drama fantasy slice life slice lifeslice supernatural,windy tales
2402,every,fantasy supernatural,ancient magus ' bride recap
1659,gore school,horror mystery supernatural,another
1048,historical samurai,action drama supernatural,hakuoki demon fleeting blossom warrior spirit blue sky
3705,mecha space,action adventure comedy sci fi ecchi,vandread intense fighting volume vandread turbulence
2486,every,drama slice life slice lifeslice,scarlet road white road indigo road lemon road ore michi
898,adult cast adult castadult organized crime organized crimeorganized psychological,action drama sci fi suspense,texhnolyze
1510,anthropomorphic mahou shoujo mahou shoujomahou school,fantasy,jewelpet twinkle star jewelpet jewelpet tinkle
237,music,comedy drama,beck mongolian chop squad
1411,school,comedy supernatural,angel beats stairway heaven angel beats hell 's kitchen
1660,historical,action,blades guardians
1133,historical,award winning award winningaward drama,giovanni 's island
2512,every,comedy,steins gate valentine 's crystal polymorphism bittersweet intermedio
2630,team sports team sportsteam,sports,victory kickoff
163,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc military school,nan,girls und panzer das finale part
2211,every,comedy romance,love hina christmas movie
1717,mahou shoujo mahou shoujomahou school,action drama fantasy romance,shakugan shana season
252,psychological,drama fantasy horror mystery sci fi suspense,new world
1656,idols female idols female idols music,action sci fi,symphogear g
2307,adult cast adult castadult otaku culture otaku cultureotaku,comedy romance,ca n't understand husband saying
2358,harem school,comedy sci fi ecchi,motto love ru
930,school,drama girls love girls lovegirls,maria watches us season
3203,every,comedy,hige piyo
1644,every,action supernatural,rakshasa street
1937,mecha military,action drama sci fi,fafner exodus
1657,gag humor gag humorgag school,comedy romance,place place
3807,every,comedy fantasy,celestial method girl 's day
2149,historical martial arts martial artsmartial,action adventure fantasy romance,lord xue ying nd season snow eagle lord nd season
2148,school,adventure comedy drama fantasy romance,mirmo zibang
1090,isekai,action adventure fantasy,naruto shippuden movie road ninja
3077,gore historical mythology psychological,horror mystery supernatural,requiem darkness
1811,adult cast adult castadult music,comedy romance,nodame cantabile oad
1181,super power super powersuper,action comedy supernatural,mob psycho ii spirits consultation office 's first company outing healing trip warms heart
593,long,comedy,hi score girl ii
677,school,comedy,sket dance ova
41,historical,action fantasy,demon slayer kimetsu yaiba entertainment district arc
3353,school team sports team sportsteam,comedy sports,burning kabaddi
2474,vampire,action drama supernatural,seraph end beginning end
2112,mahou shoujo mahou shoujomahou school,action drama fantasy romance,shakugan shana ova series
1815,every,drama mystery suspense,beautiful bones sakurako 's investigation
243,school,boys love boys loveboys,doukyusei classmates
1124,anthropomorphic iyashikei,slice life slice lifeslice,rilakkuma kaoru
1339,every,action adventure fantasy,seven deadly sins revival commandments
1507,love polygon love polygonlove school time time travel time traveltime visual arts visual artsvisual,drama fantasy romance,iroduku world colors
3493,super power super powersuper,comedy mystery,forward hamatora hamatora movie
3618,mahou shoujo mahou shoujomahou,action fantasy,eiga precure super stars
261,isekai parody,adventure comedy fantasy,konosuba god 's blessing wonderful world
1490,childcare iyashikei,gourmet slice life slice lifeslice,sweetness lightning
3022,every,fantasy mystery supernatural,lord el melloi ii 's case files rail zeppelin grace note grave keeper cat mage
2661,super power super powersuper,action adventure comedy fantasy,one piece film gold episode ver
2567,every,comedy fantasy ecchi,fairy tail series ova
834,parody,adventure comedy fantasy,magical circle
3201,mecha military,action comedy sci fi,fmp
1556,martial arts martial artsmartial,action fantasy,martial god asura
2903,mecha,comedy sci fi,ghost shell stand alone complex nd gig tachikomatic days
1503,adult cast adult castadult detective,mystery,millionaire detective balance unlimited
340,love polygon love polygonlove school strategy game strategy gamestrategy,drama sports,chihayafuru
2996,mecha time time travel time traveltime,action sci fi,buddy complex
748,adult cast adult castadult,adventure fantasy romance,spice wolf ii wolf amber melancholy
2309,every,action adventure comedy drama,digimon adventure tri loss
480,isekai strategy game strategy gamestrategy,comedy fantasy ecchi,game life
1553,every,comedy,golden courtyard new year wishes winter
3281,every,adventure comedy fantasy gourmet,priconne
3433,martial arts martial artsmartial,action adventure fantasy,tomb fallen gods
783,mythology,comedy fantasy,cool headed hoozuki ova hozuki reitetsu ova
3309,every,ecchi,eden grisaia specials le eden de la grisaia specials
2298,school,comedy,gj club
3273,harem school,action fantasy sci fi ecchi,unbreakable machine doll
3094,every,action drama horror sci fi suspense,ling long tebie pian spirit cage incarnation special
2503,military,adventure comedy drama fantasy,hagane renkinjutsushi tabi hajimari fma reflections
2833,super power super powersuper,comedy supernatural,castle town dandelion
1612,every,action adventure comedy drama fantasy,one piece heart gold
3840,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,comedy,channel let 's eat hot pot
2534,childcare,comedy slice life slice lifeslice,kaasan mom 's life
2720,every,action adventure fantasy,dragon nest warriors ' dawn
2752,historical samurai,action,sengoku basara two episode sengoku basara two special sengoku basara
1271,romantic subtext romantic subtextromantic,comedy supernatural,duke death maid
2936,mythology,action fantasy supernatural,garo vanishing line
1127,school,action comedy,assassination classroom extracurricular lesson
626,idols female idols female idols music school,award winning award winningaward slice life slice lifeslice,love live school idol movie
347,iyashikei,fantasy sci fi slice life slice lifeslice,aria natural
2010,harem school,comedy romance,nisekoi ova
2458,detective,action drama mystery supernatural,witch hunter robin
3773,workplace,gourmet slice life slice lifeslice,dining link lee
979,school,sports,gekijouban free final stroke zenpen
1423,school,comedy romance,tsuredure children
3322,every,action adventure fantasy,way choices th season fighter destiny th season
3409,harem school,drama romance supernatural,h footprints sand
911,adult cast adult castadult mecha military,action fantasy,broken blade
2412,isekai reincarnation reverse harem reverse haremreverse school,comedy fantasy romance,next life villainess routes lead doom x
632,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei workplace,slice life slice lifeslice,order rabbit bloom
3864,every,fantasy mystery,sunday without god memories
445,school,romance,insomniacs school
617,adult cast adult castadult otaku culture otaku cultureotaku workplace,romance,wotakoi love hard otaku ova
2020,every,action sci fi,arpeggio blue steel ars nova
2868,school super power super powersuper,comedy supernatural,saiki kusuo psi nan
2633,parody,comedy sci fi,nyaruko crawling love second season
2098,mahou shoujo mahou shoujomahou,action fantasy gourmet,kirakira precure la mode
1874,gore psychological,horror mystery supernatural suspense,higurashi cry rei
3277,mahou shoujo mahou shoujomahou school,romance,seven colored drops nanatsu iro drops first love encompasses nanatsuiro drops
1465,adult cast adult castadult mecha psychological,action mystery sci fi,big
1565,anthropomorphic military,action drama sci fi,fleet girls collection kancolle movie sequence
3418,gore space survival,action horror sci fi suspense,terraformars
115,psychological survival,fantasy mystery sci fi suspense,promised neverland
1494,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc military school,action,girls und panzer
353,racing,action drama,initial th stage
1232,music,nan,bang dream morfonication
613,every,action adventure fantasy,bleach
3058,every,action comedy fantasy horror,dorohedoro bonus curse extra evil
2854,military space,action romance sci fi,seikai senki movie battle flag stars special edition seikai senki tokubetsuhen
2270,mecha military music space,action romance sci fi,macross delta
3591,isekai reincarnation,fantasy,ascendance bookworm ascendance bookworm
2440,delinquents mythology vampire,action comedy fantasy,blood lad
3826,every,adventure fantasy,mr dough egg princess
57,reincarnation showbiz,award winning award winningaward drama supernatural,oshi ko
1898,every,comedy sci fi,keroro movie
2005,every,comedy supernatural,legend luoxiaohei
2813,adult cast adult castadult detective workplace,comedy drama mystery,ace attorney season
1253,mythology,action supernatural,nura rise yokai clan
3220,school visual arts visual artsvisual,comedy supernatural,kannagi crazy shrine maidens special kannagi episode kannagi special
2420,school,drama romance,book girl memoire literature girl memoire
3512,every,action adventure fantasy,seven deadly sins signs holy war
2303,every,fantasy,blue exorcist runaway kuro
2456,school,sports,tsurune kazemai high school japanese archery club dangerous shoot
1950,performing arts performing artsperforming,nan,stella theater world dai star
3589,mecha,action comedy fantasy sci fi,gatekeepers
560,psychological,adventure drama sci fi supernatural,wolf 's rain ova
707,historical vampire,action adventure supernatural,jojo 's bizarre adventure
3135,video game video gamevideo,action fantasy,hack g u trilogy
424,mecha military space,action drama sci fi,mobile suit gundam unicorn
1093,historical,action mystery,princess principal
1376,mahou shoujo mahou shoujomahou,drama fantasy,yuki yuna hero washio sumi chapter friends
647,isekai,action adventure fantasy,overlord iii
72,every,award winning award winningaward drama sports,ping pong animation
1966,isekai parody,comedy fantasy,isekai quartet
1891,iyashikei,slice life slice lifeslice,tamako market
1613,military vampire,action drama fantasy,seraph end vampire reign
1005,school,action fantasy,beyond boundary
620,every,fantasy slice life slice lifeslice,miss kobayashi 's dragon maid
3188,school,comedy girls love girls lovegirls,whispered words
2045,racing,sports,yowamushi pedal ova
553,school,drama romance,kimi ni todoke season
2787,martial arts martial artsmartial,action comedy,heroic husband
3187,every,drama romance sci fi,saikano another love song
3426,adult cast adult castadult harem,comedy romance,rent girlfriend
3509,adult cast adult castadult,action adventure comedy,lupin iii last job
2464,mecha military space,action drama sci fi,mobile suit gundam thunderbolt bandit flower
998,isekai,adventure comedy fantasy,kyou kara maou dai san series kyou kara maoh third series kyou kara maoh season maruma third series
2022,every,action adventure comedy,eiga crayon shin chan arashi wo yobu jungle crayon shin chan storm called jungle
3021,harem parody,comedy romance ecchi,noble masters
1991,school,comedy romance supernatural,engaged unidentified
1397,school super power super powersuper,comedy,baka test summon beasts ova
3532,every,drama girls love girls lovegirls,summer
2168,detective,adventure comedy mystery,detective conan ova suspects
3842,adult cast adult castadult mecha space,action adventure sci fi,cobra space pirate space adventure cobra ova cobra animation psychogun
2645,parody school,comedy,attack titan junior high
2646,adult cast adult castadult super power super powersuper,action drama suspense,super crooks
440,every,comedy mystery supernatural ecchi,tsukimonogatari
508,mecha parody psychological,action avant garde avant gardeavant comedy sci fi suspense,flcl
1100,otaku culture otaku cultureotaku school,romance,real girl season
589,historical samurai,drama romance,samurai x reflection
2627,every,action adventure fantasy,law devil
649,team sports team sportsteam,sports,eyeshield
1546,historical martial arts martial artsmartial,action supernatural,donten laughing clouds gaiden chapter tragedy fuuma ninja tribe
3519,idols female idols female idols music,comedy sci fi slice life slice lifeslice,symphogear axz specials
3785,every,slice life slice lifeslice,poor sisters story
2245,every,comedy fantasy,fullmetal alchemist premium ova collection
3727,every,action adventure fantasy,deer king
1956,super power super powersuper,action comedy supernatural,mob psycho reigen miraculous unknown psychic
1455,every,action drama fantasy sci fi,final fantasy vii advent children venice film festival footage
2121,anthropomorphic psychological,avant garde avant gardeavant award winning award winningaward comedy,cat soup
660,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc gag humor gag humorgag school,comedy girls love girls lovegirls,yuru yuri rd season yuru yuri third season yuru yuri san high yuruyuri
630,every,action fantasy,fate kaleid liner prisma illya vow snow
672,super power super powersuper,action fantasy,final fantasy advent children complete
1249,adult cast adult castadult,drama romance supernatural,ride wave
1752,isekai reincarnation,action adventure fantasy,faraway paladin lord rust mountains
482,mecha,action adventure drama romance sci fi,eureka seven
1849,every,action comedy fantasy romance,monster list season
3295,every,fantasy,kaina great snow sea star sage
1812,anthropomorphic,slice life slice lifeslice,little shark 's outings outgoing baby shark little shark 's day
1462,strategy game strategy gamestrategy,drama mystery suspense,flowers hard blood
2674,gore super power super powersuper,action comedy sci fi,dead leaves
2487,time time travel time traveltime,comedy romance supernatural,summer storm
2299,school,boys love boys loveboys drama,hitorijime hero
856,every,fantasy mystery,shadows house
1225,school team sports team sportsteam,sports,ace diamond second season ova
1190,love polygon love polygonlove school time time travel time traveltime,drama romance sci fi,orange
2114,every,comedy,kateikyoushi hitman reborn mr rebokku ciao ciao interview home tutor hitman reborn
530,mahou shoujo mahou shoujomahou,drama fantasy,yuki yuna hero washio sumi chapter promise
2570,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc military school,nan,girls und panzer ova
49,every,action adventure fantasy,bleach thousand year blood war separation
2470,gore,action girls love girls lovegirls horror sci fi supernatural,rin daughters mnemosyne
858,school,sports,baby steps
2127,every,sci fi,patema inverted beginning day
1072,adult cast adult castadult showbiz,boys love boys loveboys comedy drama,dakaichi 'm harassed sexiest man year movie dakaretai otoko ichii ni odosarete imasu movie
719,every,action adventure fantasy,one piece movie
2057,historical,comedy,royal tutor movie
2090,adult cast adult castadult military,action comedy drama romance,library wars situation love handicap
2884,harem school,comedy romance supernatural,hentai prince stony cat
3508,every,adventure fantasy,drifting dragons
2584,historical martial arts martial artsmartial,action adventure fantasy romance,long
2728,every,adventure comedy fantasy sci fi,jing king bandits
2096,school,adventure comedy fantasy,daily life immortal king
2861,every,drama horror,little goat
3708,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc,slice life slice lifeslice,wakaba girl special
3260,idols female idols female idols,comedy slice life slice lifeslice,locodol ova
3479,every,drama,voice kimikoe
3730,historical,mystery,agatha christie 's great detectives poirot marple
3710,every,action supernatural,dream eater merry
1651,detective,drama mystery,heaven 's memo pad
1731,martial arts martial artsmartial mythology,action adventure fantasy romance,yao shen ji ying yao pian tales demons gods rd season
2742,every,adventure comedy romance,love hina spring movie
1385,harem school,comedy romance,nisekoi false love
1399,every,adventure comedy sci fi,doraemon movie nobita 's new dinosaur
1195,idols female idols female idols music,sci fi,akb next stage
3639,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc isekai reincarnation,comedy fantasy,'ve killing slimes years maxed level
1475,parody space,action adventure comedy sci fi,space patrol luluco
2981,school,drama romance,
3377,historical martial arts martial artsmartial,action adventure fantasy,legend xianwu
2246,historical,action drama supernatural,fus memoirs huntress
297,every,adventure mystery sci fi,heavenly delusion
2789,every,romance,kimi ni todoke unrequited love
1264,every,action fantasy supernatural,fate grand order divine realm round table camelot paladin agateram
1977,every,fantasy romance,saint cecilia pastor lawrence
958,childcare iyashikei,slice life slice lifeslice,school babysitters episode
1606,detective,adventure mystery,detective conan ova conan kid crystal mother
1960,music,romance,lotte x bump chicken shinsekai
2493,medical,drama,black jack special miracles life black jack miracles life
1805,music performing arts performing artsperforming reverse harem reverse haremreverse school,romance,la corda d'oro primo passo
1609,every,action adventure fantasy,seven deadly sins ban 's side story ova
2329,music,comedy supernatural,world god knows four girls idol
1374,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc,comedy,wataten angel flew precious friends
1286,super power super powersuper vampire,action fantasy,blood blockade battlefront
3851,school,comedy,prince school prince afterschool prince tennis tribute houkago ouji sama
349,mahou shoujo mahou shoujomahou school,adventure comedy drama fantasy romance,cardcaptor sakura
1368,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,adventure slice life slice lifeslice,encouragement climb season
2858,every,fantasy,made abyss golden city scorching sun together papa
643,medical psychological,avant garde avant gardeavant drama,welcome irabu 's office
1740,school,comedy,tonari seki kun master killing time specials
1907,adult cast adult castadult parody super power super powersuper,action comedy,one punch man season specials
669,iyashikei,fantasy sci fi slice life slice lifeslice,aria avvenire
3502,every,comedy,hero
2881,every,action comedy fantasy sci fi,hyperdimension neptunia ova
3155,school strategy game strategy gamestrategy,sports,new prince tennis hyoutei vs rikkai game future
3229,military space,romance sci fi,crest stars birth
1179,detective,adventure comedy mystery,detective conan movie requiem detectives recap
2406,isekai,action adventure comedy fantasy,marchen awakens romance rchen awakens romance mar heaven r heaven
2132,historical,comedy fantasy romance,love fairy devil part
1732,strategy game strategy gamestrategy,action,yu gi oh 's
1587,school super power super powersuper,drama,charlotte strong ones
3044,martial arts martial artsmartial,action drama,legends dark king fist north star story
2177,iyashikei,fantasy sci fi slice life slice lifeslice,aria natural special miracle may meet aria natural promo aria natural episode
2292,space,action adventure fantasy sci fi,edens zero
1357,every,action adventure fantasy,fairy tail
786,adult cast adult castadult,action adventure sci fi,trigun stampede
3466,isekai iyashikei reincarnation,fantasy slice life slice lifeslice,grace gods
140,isekai parody,adventure comedy fantasy,konosuba god 's blessing wonderful world legend crimson
788,adult cast adult castadult survival,action comedy horror supernatural suspense,zom bucket list dead
323,childcare,slice life slice lifeslice,kotaro lives alone
2602,every,comedy gourmet slice life slice lifeslice,cooking valkyries ii
714,mecha school space,action sci fi,mobile suit gundam witch mercury
2119,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc school,comedy slice life slice lifeslice,minamike okawari
2293,otaku culture otaku cultureotaku,comedy supernatural,otaku elf
3566,school,romance,kimi kiss pure rouge kimikiss pure rouge special
1941,mecha space,action sci fi ecchi,vandread second stage
3249,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc gag humor gag humorgag mythology,comedy supernatural,dropkick devil
2407,adult cast adult castadult mythology,action fantasy,malevolent spirits mononogatari
618,performing arts performing artsperforming,comedy drama fantasy,kaleido star
406,every,action adventure fantasy,one piece film z
1921,adult cast adult castadult workplace,slice life slice lifeslice,sakura quest
3181,mythology school,comedy supernatural,rin ne season
3280,mahou shoujo mahou shoujomahou,action comedy fantasy,eiga precure dream stars
2678,anthropomorphic gag humor gag humorgag historical parody,comedy,hetalia world twinkle
2647,detective parody super power super powersuper,comedy mystery,detective opera milky holmes
497,romantic subtext romantic subtextromantic school,comedy,komi ca n't communicate season
2176,school,drama romance,maidens savage season
342,school,comedy drama romance supernatural,little busters refrain
2494,adult cast adult castadult mecha military,action fantasy,broken blade
3334,every,action adventure comedy fantasy,'m quitting heroing
782,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei school visual arts visual artsvisual,slice life slice lifeslice,hidamari sketch x
1323,idols female idols female idols music,comedy slice life slice lifeslice,kiratto pri chan nd season
2233,mecha,action sci fi,expelled paradise
1832,martial arts martial artsmartial,action adventure fantasy,tales symphonia animation united world episode
303,love polygon love polygonlove school,drama romance supernatural,fruits basket st season
3209,every,boys love boys loveboys comedy drama,super lovers
2717,historical mythology,action comedy mystery supernatural,black butler story thus far
664,isekai,action adventure fantasy,overlord
1177,mahou shoujo mahou shoujomahou,action comedy drama fantasy,magical girl lyrical nanoha strikers
1244,idols female idols female idols music,comedy drama,idolm ster
2354,gore historical survival,action fantasy horror suspense,kabaneri iron fortress
2227,every,adventure fantasy,mei baby cat bus
2909,harem school,comedy romance,mental choices completely interfering school romantic comedy
3849,mecha school,action sci fi,sadamitsu destroyer
2505,mythology,comedy horror supernatural,gegege kitaro
84,vampire,action mystery supernatural,kizumonogatari part hot blooded
3294,every,comedy gourmet,cooking valkyries
941,long,comedy,lucky star
961,every,comedy romance,tonikawa moon high school days
841,gag humor gag humorgag parody school,comedy,goodbye mr despair oad
2819,gore vampire,action horror supernatural,blood c last dark
3543,harem mythology school,action comedy fantasy romance ecchi,high school dxd hero episode holiness behind gym
3048,school,drama girls love girls lovegirls,sweet blue flowers
1918,gag humor gag humorgag parody,comedy,mr osomatsu episode virgin heroes
2401,iyashikei,romance slice life slice lifeslice,someday 's dreamers ii sora
2439,adult cast adult castadult historical racing,comedy,appare ranman
290,school,drama romance supernatural,rascal dream bunny girl senpai
2426,school,comedy,love chunibyo delusions chuni shorts
2460,martial arts martial artsmartial mythology,action adventure fantasy romance,demon gods nd season tales demons gods nd season
1846,workplace,comedy,www wagnaria
3233,every,action adventure fantasy,magic chef ice fire
3495,harem vampire,action fantasy ecchi,strike blood second
604,every,comedy drama fantasy romance,kobato
2610,every,mystery,kindaichi case files special
916,music performing arts performing artsperforming school,drama,sound euphonium promise brand new day
2053,adult cast adult castadult showbiz,comedy drama,wave listen
2588,every,mystery,garden sinners chapter epilogue
1099,isekai workplace,fantasy gourmet slice life slice lifeslice,restaurant another world
1088,detective,adventure comedy mystery,detective conan movie private eye distant sea
3670,otaku culture otaku cultureotaku,comedy romance,oreimo
3655,historical,adventure drama fantasy,otogi zoshi legend magatama
1624,harem otaku culture otaku cultureotaku school,comedy romance ecchi,saekano raise boring girlfriend
2431,gore,action adventure fantasy,goblin slayer goblin 's crown
821,every,action mystery supernatural suspense,garden sinners chapter hollow shrine
2091,harem school,action comedy fantasy romance ecchi,gekijouban trinity seven trinity seven movie tenkuu toshokan shinku maou
3086,strategy game strategy gamestrategy,action sci fi,megaman star force
3648,martial arts martial artsmartial,action adventure fantasy romance,spirit sword sovereign nd season
3440,mythology,comedy supernatural,non human
3165,adult cast adult castadult showbiz,boys love boys loveboys drama,yes maybe
1302,mythology school,action fantasy,blue exorcist movie
1000,every,fantasy,monsters mercies dragon damnation
3178,every,comedy,keroro gunso super movie creation ultimate keroro wonder space time island
1983,historical,drama,kaze shojo emily emily new moon
1505,every,action adventure comedy fantasy,pok mon twilight wings
1477,every,comedy,reborn comes vongola family style school trip
18,mecha military super power super powersuper,action award winning award winningaward drama sci fi,code geass lelouch rebellion r
1637,racing,action,initial battle stage
1667,harem psychological school,drama romance suspense,fruit grisaia
493,school,romance,tsukigakirei
1125,organized crime organized crimeorganized parody school,comedy fantasy romance,bride mermaid
1404,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei,slice life slice lifeslice,room camp saunas grub three wheeler bikes
2992,historical military samurai,action drama,angolmois record mongol invasion
2608,every,award winning award winningaward drama mystery supernatural,children sea
2509,harem mythology school,action comedy fantasy romance ecchi,high school dxd hero
2711,historical martial arts martial artsmartial,action adventure fantasy romance,xueying lingzhu lord xue ying snow eagle lord
2342,school,action fantasy,full time magister th season
2673,mecha,action drama romance sci fi,darling franxx
584,team sports team sportsteam,sports,long
2254,every,action adventure fantasy,tales zestiria x season
687,school,drama girls love girls lovegirls,bloom
2367,performing arts performing artsperforming,drama,season autumn winter
3244,mahou shoujo mahou shoujomahou,action fantasy,healin ' good pretty cure
1820,every,action adventure fantasy,bleach movie diamonddust rebellion
1608,school,drama slice life slice lifeslice,sister momoko
2585,historical medical,drama,young black jack
2155,every,action adventure sci fi,third girl blue eye
1009,historical,action mystery,princess principal crown handler chapter
3098,historical,comedy,ninja girl samurai master anegawa ishiyama arc
2229,adult cast adult castadult historical samurai,action drama,onihei
360,crossdressing reverse harem reverse haremreverse school,comedy romance,ouran high school host club
3284,super power super powersuper,action comedy fantasy sci fi,world conquest zvezda plot
3523,long,comedy ecchi,back street girls gokudols
2468,mythology,comedy mystery supernatural,mythical detective loki ragnarok
1677,team sports team sportsteam,sports,captain tsubasa
1310,super power super powersuper,action mystery supernatural,getbackers
2213,adult cast adult castadult,action adventure drama,lupin third fujiko mine 's lie
2289,every,mystery romance supernatural,bakemonogatari episode bakemonogatari special ghostory recap ghostory special
800,every,action adventure fantasy,throne seal
2319,iyashikei,slice life slice lifeslice,shonen maid
344,cgd cgdct cgdctc cgdctcg cgdctcgd cgdctcgdc iyashikei school,slice life slice lifeslice,non non biyori repeat
986,anthropomorphic workplace,comedy,aggretsuko ona nd season
2442,every,adventure fantasy,doraemon movie nobita winged braves
743,every,adventure comedy romance,magic kaito
2852,every,adventure comedy drama fantasy,pok mon heroes
1671,martial arts martial artsmartial,action adventure,fist north star raoh side story junai arc
2364,every,action adventure fantasy mystery,rokka braves six flowers
2215,every,action adventure fantasy,one piece protect last great performance
113,adult cast adult castadult parody super power super powersuper,action comedy,one punch man
1437,idols female idols female idols music school,slice life slice lifeslice,puri para pri para puripara prism paradise
1866,isekai,action adventure fantasy,brave story
1241,psychological,horror mystery supernatural suspense,hell girl
1142,mecha military space,action drama sci fi,mobile suit gundam unicorn
2328,martial arts martial artsmartial mythology,action adventure fantasy romance,demon gods tales demons gods
1216,gag humor gag humorgag parody school,action comedy fantasy,mashle magic muscles
1198,mahou shoujo mahou shoujomahou,adventure comedy fantasy sci fi,flip flappers
85,iyashikei mythology,slice life slice lifeslice supernatural,natsume 's book friends season
1518,every,action drama fantasy,utawarerumono mask truth
2643,strategy game strategy gamestrategy,action comedy fantasy,yu gi oh gx
1381,mythology,drama fantasy,ancient magus ' bride boy west knight blue storm
1978,mecha military,action drama sci fi,fafner azure dead aggressor right left
668,every,comedy romance,love story
1014,isekai military,action adventure fantasy,gate part
128,delinquents organized crime organized crimeorganized psychological,action adventure drama suspense,banana fish
1364,school visual arts visual artsvisual,comedy romance,tada never falls love
3043,isekai reincarnation,fantasy,heretical last boss queen villainess savior
2829,adult cast adult castadult otaku culture otaku cultureotaku parody,slice life slice lifeslice,genshiken nidaime oad society study modern visual culture ova
891,school,sports,gekijouban free final stroke kouhen
2480,idols female idols female idols music,slice life slice lifeslice,kiratto pri chan
1359,adult cast adult castadult gag humor gag humorgag organized crime organized crimeorganized,comedy,way househusband season
307,every,action adventure fantasy,magi kingdom magic
3592,parody,action adventure comedy fantasy,kirby right back ya
383,every,action comedy fantasy,black clover
150,gag humor gag humorgag school super power super powersuper,comedy supernatural,disastrous life saiki k
1317,adult cast adult castadult military space,action drama sci fi,long
1451,parody,comedy sci fi,darker black episode beneath fully bloomed cherry blossoms
1876,racing,action drama,initial extra stage
2513,adult cast adult castadult detective psychological,mystery sci fi suspense,perfect insider
426,school team sports team sportsteam,sports,kuroko basketball best present
494,martial arts martial artsmartial super power super powersuper,action adventure comedy drama mystery,scissor seven shadow fate
1207,idols female idols female idols music,comedy drama,idolm ster movie beyond brilliant future
2772,idols male idols male idols music reverse harem reverse haremreverse school,comedy romance,uta prince sama
3271,school,comedy ecchi,kyou go ni ova kyou go ni ova today class ova today 's oad treasure chest kyo gononi
1208,mecha space,action award winning award winningaward comedy drama sci fi,gunbuster
2935,mahou shoujo mahou shoujomahou,comedy fantasy,long
3114,childcare,fantasy slice life slice lifeslice,'s daughter 'd even defeat demon lord
2980,mecha,action,mazinkaiser deathmatch general dark
3015,every,sports,prince tennis ova another story ii bonus
