,Theme,Genre,Title
2011,adult cast adult castadult,drama romance,kawamo wo suberu kaze wind skimming river 's surface dokoka dewanai koko yuuge jinsei best
611,music showbiz,comedy drama romance supernatural,searching full moon
2118,historical time time travel time traveltime,adventure comedy drama gourmet romance,cinderella chef adorable food goddess
3540,historical,action fantasy,dinghai fusheng records
3130,mythology,comedy fantasy,obey nd season
2632,mecha space,action sci fi,gundam reconguista g v beyond peril death
742,every,action comedy mystery,lupin iii vs detective conan movie
637,adult cast adult castadult otaku culture otaku cultureotaku workplace,romance,wotakoi love hard otaku
3823,video game video gamevideo,adventure drama mystery,ones within
1882,martial arts martial artsmartial super power super powersuper,action adventure fantasy,dragon ball z battle gods
1749,music school,drama,forest piano second season
1395,harem,comedy romance supernatural,ah goddess fighting wings
48,mecha military school super power super powersuper,action award winning award winningaward drama sci fi,code geass lelouch rebellion
3292,adult cast adult castadult,action adventure comedy mystery,lupin iii angel tactics
921,isekai,action fantasy supernatural,fate grand order final singularity grand temple time solomon
3442,harem school,action comedy fantasy romance sci fi ecchi,asterisk war season
756,harem school,comedy romance,quintessential quintuplets movie
1736,every,comedy sports,prince tennis gift atobe
2867,every,action adventure fantasy sci fi,sabikui bisco
1993,super power super powersuper,action adventure drama sci fi,cry ed
2223,super power super powersuper,action supernatural,k seven stories side blue sirius
1948,school,comedy romance,love chunibyo delusions rikka version
1426,historical martial arts martial artsmartial,action adventure fantasy romance,martial universe nd season
1391,mahou shoujo mahou shoujomahou,action fantasy,long
3185,every,action fantasy supernatural,persona animation day breakers
2184,every,action adventure sci fi,cyborg
2353,military school super power super powersuper,action adventure fantasy sci fi,chrome shelled regios
3805,love polygon love polygonlove,drama romance slice life slice lifeslice,'m joybo ova
2571,gore,action adventure fantasy,goblin slayer nd season
2691,harem school,action fantasy romance sci fi,date live iii
2672,high stakes game high stakes gamehigh high stakes gamehigh stakes psychological school survival,horror mystery suspense,danganronpa animation
1070,performing arts performing artsperforming,sports,backflip movie
3560,super power super powersuper,action fantasy,munto beyond walls time
1825,harem mythology school,action comedy fantasy romance ecchi,high school dxd born ova
2359,mahou shoujo mahou shoujomahou,comedy fantasy,long
3483,every,slice life slice lifeslice,paulette 's chair
3520,historical,adventure comedy fantasy ecchi,shin koihime musou nd season
1972,adult cast adult castadult crossdressing detective organized crime organized crimeorganized,action mystery,hakata tonkotsu ramens
1366,super power super powersuper,action sci fi supernatural,towanoquon eternal quon
2985,harem school,comedy supernatural,invaders rokujyoma
2668,mythology,adventure drama fantasy,saiyuki gaiden tokubetsu hen kouga shou saiyuki gaiden fragment chapter
3435,historical,award winning award winningaward drama,ashura
1564,martial arts martial artsmartial mythology,action adventure fantasy romance,tales demons gods season
2230,every,adventure fantasy,ranking kings treasure chest courage
